borne_id,heure,jour_semaine,est_weekend,est_heure_pointe,mois,energie_kwh,occupee
43,1,5,1,0,6,0.0,0
20,0,0,0,0,5,0.0,0
97,13,1,0,0,4,0.0,0
88,17,4,0,1,6,0.0,0
31,0,4,0,0,12,0.0,0
11,9,5,1,1,3,0.0,0
44,7,0,0,1,7,0.0,0
9,7,4,0,1,3,0.0,0
97,7,4,0,1,4,0.0,0
84,15,5,1,0,3,0.0,0
12,10,4,0,0,4,0.0,0
46,12,2,0,0,11,0.0,0
25,8,4,0,1,9,0.0,0
94,10,0,0,0,4,0.0,0
69,19,3,0,1,6,0.0,0
84,16,4,0,0,7,0.0,0
61,13,3,0,0,3,0.0,0
41,19,2,0,1,7,0.0,0
51,10,3,0,0,9,0.0,0
27,5,2,0,0,4,0.0,0
87,15,2,0,0,7,0.0,0
32,9,1,0,1,2,0.0,0
88,2,4,0,0,7,0.0,0
37,14,2,0,0,12,0.0,0
25,17,0,0,1,12,0.0,0
54,14,5,1,0,7,0.0,0
38,6,0,0,0,6,0.0,0
24,14,6,1,0,2,0.0,0
102,7,1,0,1,12,0.0,0
16,13,1,0,0,8,0.0,0
98,8,3,0,1,9,0.0,0
89,21,3,0,0,11,0.0,0
1,6,4,0,0,10,0.0,0
87,7,5,1,1,12,0.0,0
49,20,2,0,1,3,0.0,0
37,12,3,0,0,4,0.0,0
15,15,6,1,0,1,0.0,0
77,11,6,1,0,6,0.0,0
95,7,6,1,1,5,0.0,0
64,16,1,0,0,8,0.0,0
72,4,5,1,0,5,0.0,0
45,23,3,0,0,4,0.0,0
9,8,4,0,1,5,0.0,0
3,15,5,1,0,11,0.0,0
100,11,0,0,0,1,0.0,0
16,0,4,0,0,11,0.0,0
23,6,1,0,0,1,0.0,0
22,21,2,0,0,2,0.0,0
100,2,4,0,0,10,0.0,0
49,0,2,0,0,11,0.0,0
27,0,6,1,0,5,0.0,0
10,21,6,1,0,2,0.0,0
63,17,0,0,1,2,0.0,0
35,1,5,1,0,7,0.0,0
53,1,6,1,0,3,0.0,0
66,10,3,0,0,10,0.0,0
15,6,0,0,0,11,0.0,0
61,8,1,0,1,4,0.0,0
13,3,5,1,0,3,0.0,0
76,13,0,0,0,1,0.0,0
96,6,0,0,0,11,0.0,0
83,3,5,1,0,9,0.0,0
30,10,5,1,0,10,0.0,0
93,12,2,0,0,11,0.0,0
79,12,1,0,0,12,0.0,0
90,15,1,0,0,4,0.0,0
15,22,6,1,0,8,0.0,0
99,8,0,0,1,11,0.0,0
85,20,0,0,1,2,0.0,0
84,11,5,1,0,11,0.0,0
81,13,6,1,0,12,0.0,0
99,6,0,0,0,10,0.0,0
45,13,6,1,0,1,0.0,0
82,11,2,0,0,3,0.0,0
27,19,2,0,1,6,0.0,0
100,1,2,0,0,4,0.0,0
64,3,1,0,0,7,0.0,0
51,10,4,0,0,2,0.0,0
63,2,0,0,0,2,0.0,0
15,17,3,0,1,9,0.0,0
94,13,5,1,0,7,0.0,0
6,12,0,0,0,9,6.43,1
93,10,1,0,0,3,0.0,0
52,14,3,0,0,8,0.0,0
58,3,2,0,0,6,0.0,0
39,20,4,0,1,4,0.0,0
34,18,5,1,1,8,0.0,0
57,23,6,1,0,12,0.0,0
65,17,1,0,1,2,0.0,0
29,10,4,0,0,8,0.0,0
5,20,0,0,1,12,0.0,0
84,22,4,0,0,12,0.0,0
74,2,3,0,0,5,0.0,0
77,2,6,1,0,10,0.0,0
73,22,5,1,0,8,0.0,0
3,13,6,1,0,4,0.0,0
51,8,3,0,1,4,0.0,0
20,4,3,0,0,9,0.0,0
57,0,0,0,0,6,0.0,0
84,9,3,0,1,5,0.0,0
83,18,5,1,1,6,0.0,0
15,22,1,0,0,4,0.0,0
86,17,2,0,1,9,0.0,0
18,20,2,0,1,10,0.0,0
102,12,1,0,0,1,0.0,0
97,17,6,1,1,5,0.0,0
98,10,0,0,0,1,0.0,0
1,22,2,0,0,8,0.0,0
100,3,1,0,0,8,0.0,0
30,13,2,0,0,1,0.0,0
8,0,3,0,0,5,0.0,0
11,21,3,0,0,5,0.0,0
45,20,1,0,1,3,0.0,0
28,17,2,0,1,8,0.0,0
55,11,1,0,0,4,0.0,0
98,7,3,0,1,11,0.0,0
90,1,4,0,0,2,0.0,0
67,10,3,0,0,12,0.0,0
98,8,1,0,1,7,0.0,0
90,21,5,1,0,2,0.0,0
50,16,5,1,0,12,0.0,0
34,2,4,0,0,8,0.0,0
80,2,0,0,0,10,0.0,0
80,14,4,0,0,8,0.0,0
74,18,0,0,1,8,0.0,0
25,17,3,0,1,9,0.0,0
92,1,1,0,0,1,0.0,0
36,9,3,0,1,5,0.0,0
75,22,6,1,0,1,0.0,0
69,3,2,0,0,3,0.0,0
37,18,1,0,1,7,0.0,0
6,15,1,0,0,9,0.0,0
87,3,2,0,0,3,0.0,0
92,4,4,0,0,3,0.0,0
5,16,0,0,0,10,0.0,0
25,5,2,0,0,1,0.0,0
45,13,0,0,0,8,0.0,0
92,0,5,1,0,10,0.0,0
10,21,6,1,0,8,0.0,0
21,13,2,0,0,1,0.0,0
12,16,0,0,0,1,0.0,0
93,8,2,0,1,12,0.0,0
10,15,6,1,0,7,0.0,0
22,19,5,1,1,1,0.0,0
97,8,4,0,1,3,0.0,0
19,16,3,0,0,2,0.0,0
46,18,0,0,1,1,0.0,0
3,5,6,1,0,5,0.0,0
10,7,0,0,1,2,0.0,0
68,4,0,0,0,12,0.0,0
12,21,2,0,0,5,0.0,0
45,4,5,1,0,9,0.0,0
94,3,5,1,0,12,0.0,0
71,5,2,0,0,1,0.0,0
48,19,2,0,1,6,0.0,0
58,4,4,0,0,12,0.0,0
43,6,1,0,0,11,0.0,0
89,0,4,0,0,4,0.0,0
68,21,3,0,0,7,0.0,0
35,19,6,1,1,4,0.0,0
65,16,1,0,0,12,0.0,0
36,8,6,1,1,2,0.0,0
28,20,1,0,1,8,0.0,0
50,12,6,1,0,3,0.0,0
17,1,2,0,0,4,0.0,0
99,4,4,0,0,1,0.0,0
1,7,6,1,1,11,0.0,0
98,10,5,1,0,9,0.0,0
56,3,6,1,0,1,0.0,0
41,17,0,0,1,12,0.0,0
21,19,5,1,1,5,0.0,0
45,14,2,0,0,9,7.02,1
35,9,0,0,1,4,0.0,0
50,19,5,1,1,8,0.0,0
29,1,2,0,0,3,0.0,0
44,11,6,1,0,2,0.0,0
69,23,1,0,0,6,0.0,0
20,2,3,0,0,5,0.0,0
4,22,0,0,0,4,0.0,0
45,13,0,0,0,4,5.51,1
43,5,4,0,0,10,0.0,0
20,0,4,0,0,7,0.0,0
15,22,6,1,0,2,0.0,0
2,15,6,1,0,10,0.0,0
32,23,0,0,0,10,0.0,0
6,18,3,0,1,3,0.0,0
94,15,0,0,0,10,0.0,0
44,11,6,1,0,12,0.0,0
67,22,3,0,0,6,0.0,0
41,23,4,0,0,5,0.0,0
98,11,1,0,0,9,0.0,0
22,0,0,0,0,7,0.0,0
67,20,1,0,1,8,0.0,0
16,1,2,0,0,3,0.0,0
8,19,6,1,1,7,0.0,0
51,13,6,1,0,5,0.0,0
56,19,2,0,1,2,0.0,0
1,0,2,0,0,7,0.0,0
5,23,5,1,0,1,0.0,0
1,19,3,0,1,8,0.0,0
3,6,2,0,0,1,0.0,0
46,21,6,1,0,4,0.0,0
14,7,5,1,1,7,0.0,0
60,6,6,1,0,9,0.0,0
40,14,1,0,0,4,0.0,0
83,3,6,1,0,6,0.0,0
9,5,6,1,0,9,0.0,0
3,12,0,0,0,1,0.0,0
46,10,5,1,0,4,0.0,0
42,17,6,1,1,9,0.0,0
51,2,5,1,0,3,0.0,0
61,3,5,1,0,3,0.0,0
89,21,0,0,0,6,0.0,0
77,10,1,0,0,10,0.0,0
49,15,2,0,0,12,0.0,0
63,16,0,0,0,8,6.69,1
38,15,5,1,0,11,0.0,0
9,23,2,0,0,5,0.0,0
1,13,3,0,0,8,0.0,0
4,11,2,0,0,7,0.0,0
22,22,1,0,0,7,0.0,0
21,17,3,0,1,8,0.0,0
17,2,2,0,0,12,0.0,0
19,9,0,0,1,3,0.0,0
63,11,1,0,0,11,0.0,0
101,11,0,0,0,4,0.0,0
88,10,0,0,0,7,0.0,0
4,18,1,0,1,1,0.0,0
