session_id,kwh_total,debut,fin,heure_debut,heure_fin,duree_heures,jour_semaine,plateforme,distance_km,utilisateur_id,borne_id,site_id,type_site,prix_kwh_mad,prix_total_mad,ville,code_postal,latitude,longitude
1366563,7.78,0014-11-18 15:40:26,0014-11-18 17:11:04,15,17,1.510555556,Mardi,android,,35897499,582873,461655,Parking public,2.78,21.63,Fès,30000,34.02557240713084,-4.970530539590073
3075723,9.74,0014-11-19 17:40:26,0014-11-19 19:51:04,17,19,2.177222222,Mercredi,android,,35897499,549414,461655,Parking public,1.55,15.1,Tanger,90000,35.7865428583846,-5.814475060152563
4228788,6.76,0014-11-21 12:05:46,0014-11-21 16:46:04,12,16,4.671666667,Vendredi,android,,35897499,129465,461655,Parking public,2.05,13.86,Fès,30000,34.04701963650868,-4.979607719134687
3173284,6.17,0014-12-03 19:16:12,0014-12-03 21:02:18,19,21,1.768333333,Mercredi,android,,35897499,569889,461655,Parking public,1.95,12.03,Agadir,80000,30.433719509051823,-9.613159475833456
3266500,0.93,0014-12-11 20:56:11,0014-12-11 21:14:06,20,21,0.298611111,Jeudi,android,,35897499,414088,566549,Parking public,2.97,2.76,Meknès,50000,33.87286111842655,-5.542697856068535
4099366,2.14,0014-12-12 14:38:44,0014-12-12 15:04:04,14,15,0.422222222,Vendredi,android,,35897499,911231,202527,Parking public,2.85,6.1,Tanger,90000,35.738859671220176,-5.859964645161957
5084244,0.3,0014-12-12 15:08:40,0014-12-12 15:47:04,15,15,0.64,Vendredi,android,,35897499,920264,461655,Parking public,3.28,0.98,Marrakech,40000,31.60298501673009,-8.0054049237907
2948436,1.82,0014-12-17 20:30:25,0014-12-17 21:31:04,20,21,1.010833333,Mercredi,android,,35897499,431796,461655,Parking public,1.67,3.04,Casablanca,20000,33.59507056874649,-7.559866443278003
3515913,0.81,0014-12-18 17:53:19,0014-12-18 18:04:04,17,18,0.179166667,Jeudi,android,,35897499,134427,620906,Parking public,2.34,1.9,Oujda,60000,34.6927669007046,-1.9218016450344453
8490014,1.98,0014-12-18 18:06:49,0014-12-18 18:30:05,18,18,0.387777778,Jeudi,android,,35897499,207262,928191,Parking public,1.56,3.09,Fès,30000,34.04558435466776,-4.9854089652770694
7075912,4.56,0014-12-18 18:31:54,0014-12-18 20:57:04,18,20,2.419444444,Jeudi,android,,35897499,280221,976902,Parking public,1.94,8.85,Oujda,60000,34.65793506965775,-1.893000096818391
5226095,2.05,0014-12-19 14:30:37,0014-12-19 15:12:04,14,15,0.690833333,Vendredi,android,,35897499,371335,461655,Parking public,2.51,5.15,Agadir,80000,30.45599459112972,-9.576618603739567
9342496,5.3,0015-01-07 17:52:53,0015-01-07 20:54:03,17,20,3.019444444,Mercredi,android,,35897499,405157,976902,Parking public,1.55,8.22,Fès,30000,34.053046558448024,-4.97044230215587
1853945,0.0,0015-01-09 13:59:09,0015-01-09 14:21:03,13,14,0.365,Vendredi,android,,35897499,355208,976902,Parking public,1.9,0.0,Casablanca,20000,33.55584034664069,-7.605310210884588
2113485,7.85,0015-01-12 17:39:36,0015-01-12 21:48:04,17,21,4.141111111,Lundi,android,,35897499,944575,928191,Parking public,2.8,21.98,Casablanca,20000,33.55400949803242,-7.617378950388418
7492587,8.49,0015-01-16 17:23:35,0015-01-16 19:03:04,17,19,1.658055556,Vendredi,android,,35897499,582873,461655,Parking public,2.59,21.99,Fès,30000,34.014104270591204,-5.005628508920325
1111437,7.52,0015-01-16 19:04:38,0015-01-16 21:14:04,19,21,2.157222222,Vendredi,android,,35897499,500856,976902,Parking public,1.94,14.59,Rabat,10000,34.00915453457757,-6.8637951598102624
4716378,5.38,0015-01-21 18:01:25,0015-01-21 20:19:04,18,20,2.294166667,Mercredi,android,,35897499,250527,976902,Parking public,2.68,14.42,Rabat,10000,34.022385385897934,-6.870254446650276
4187340,3.42,0015-01-29 16:34:34,0015-01-29 17:25:05,16,17,0.841944444,Jeudi,android,,35897499,623134,620906,Parking public,3.12,10.67,Oujda,60000,34.682616701118526,-1.9197743903715108
